Product,Category,N_products,Total,Percentage,Fixed,Repairable,End of Life,Fixed Cnt,Repairable Cnt,End of Life Cnt
Microwave - Model 143,Microwave,150,32,0.0%,46.9%,19.5%,33.6%,15,6,11
Microwave - Model 144,Microwave,150,96,0.0%,62.2%,23.5%,14.3%,60,23,13
Microwave - Model 145,Microwave,150,6,0.0%,60.0%,11.8%,28.2%,4,1,1
Microwave - Model 146,Microwave,150,15,0.0%,46.8%,20.5%,32.7%,7,3,5
Microwave - Model 147,Microwave,150,67,0.0%,68.8%,19.2%,12.0%,46,13,8
Microwave - Model 148,Microwave,150,62,0.0%,69.5%,8.5%,21.9%,43,5,14
Microwave - Model 149,Microwave,150,101,0.0%,75.3%,19.6%,5.1%,76,20,5
Microwave - Model 150,Microwave,150,126,0.0%,45.1%,16.5%,38.4%,57,21,48
Toaster - Model 1,Toaster,53,95,0.0%,46.3%,22.2%,31.5%,44,21,30
Toaster - Model 2,Toaster,53,34,0.0%,45.1%,15.6%,39.2%,15,5,14
Toaster - Model 3,Toaster,53,26,0.0%,49.9%,23.7%,26.4%,13,6,7
Toaster - Model 4,Toaster,53,465,0.2%,50.5%,27.0%,22.5%,235,126,104
Toaster - Model 5,Toaster,53,113,0.0%,75.7%,9.9%,14.4%,86,11,16
Toaster - Model 6,Toaster,53,84,0.0%,64.6%,7.2%,28.3%,54,6,24
Toaster - Model 7,Toaster,53,36,0.0%,55.7%,22.8%,21.5%,20,8,8
Toaster - Model 8,Toaster,53,4,0.0%,66.4%,20.6%,13.0%,3,1,0
Toaster - Model 9,Toaster,53,3,0.0%,51.3%,14.5%,34.2%,2,0,1
Toaster - Model 10,Toaster,53,66,0.0%,44.1%,23.0%,32.9%,29,15,22
Toaster - Model 11,Toaster,53,117,0.0%,60.2%,22.7%,17.1%,70,27,20
Toaster - Model 12,Toaster,53,63,0.0%,50.0%,13.1%,36.9%,31,8,24
Toaster - Model 13,Toaster,53,150,0.1%,53.4%,5.6%,41.0%,80,8,62
Toaster - Model 14,Toaster,53,3,0.0%,53.6%,25.1%,21.3%,2,1,0
Toaster - Model 15,Toaster,53,37,0.0%,75.9%,18.0%,6.2%,28,7,2
Toaster - Model 16,Toaster,53,22,0.0%,58.2%,5.8%,36.0%,13,1,8
Toaster - Model 17,Toaster,53,48,0.0%,75.2%,5.3%,19.5%,36,3,9
Toaster - Model 18,Toaster,53,6,0.0%,77.8%,17.2%,5.0%,5,1,0
Toaster - Model 19,Toaster,53,251,0.1%,53.7%,28.1%,18.2%,135,71,45
Toaster - Model 20,Toaster,53,21,0.0%,41.0%,19.5%,39.5%,9,4,8
Toaster - Model 21,Toaster,53,208,0.1%,62.0%,10.5%,27.6%,129,22,57
Toaster - Model 22,Toaster,53,45,0.0%,57.2%,21.3%,21.5%,26,10,9
Toaster - Model 23,Toaster,53,345,0.1%,69.1%,5.0%,25.9%,238,17,90
Toaster - Model 24,Toaster,53,66,0.0%,77.5%,9.1%,13.4%,51,6,9
Toaster - Model 25,Toaster,53,218,0.1%,49.3%,11.6%,39.1%,108,25,85
Toaster - Model 26,Toaster,53,0,0.0%,41.5%,8.1%,50.4%,0,0,0
Toaster - Model 27,Toaster,53,112,0.0%,79.5%,12.9%,7.7%,89,14,9
Toaster - Model 28,Toaster,53,190,0.1%,44.6%,7.7%,47.7%,85,15,90
Toaster - Model 29,Toaster,53,12,0.0%,68.8%,26.4%,4.9%,8,3,1
Toaster - Model 30,Toaster,53,8,0.0%,50.3%,5.5%,44.2%,4,0,4
Toaster - Model 31,Toaster,53,45,0.0%,48.9%,6.4%,44.7%,22,3,20
Toaster - Model 32,Toaster,53,221,0.1%,44.1%,15.8%,40.1%,98,35,88
Toaster - Model 33,Toaster,53,64,0.0%,49.2%,17.9%,32.9%,31,11,22
Toaster - Model 34,Toaster,53,61,0.0%,50.1%,28.5%,21.3%,31,17,13
Toaster - Model 35,Toaster,53,12,0.0%,76.2%,19.2%,4.6%,9,2,1
Toaster - Model 36,Toaster,53,0,0.0%,54.2%,14.5%,31.3%,0,0,0
Toaster - Model 37,Toaster,53,135,0.0%,56.5%,23.2%,20.3%,76,31,28
Toaster - Model 38,Toaster,53,7,0.0%,58.1%,26.4%,15.5%,4,2,1
Toaster - Model 39,Toaster,53,82,0.0%,77.8%,13.4%,8.8%,64,11,7
Toaster - Model 40,Toaster,53,200,0.1%,62.4%,7.4%,30.2%,125,15,60
Toaster - Model 41,Toaster,53,19,0.0%,48.0%,15.3%,36.6%,9,3,7
Toaster - Model 42,Toaster,53,89,0.0%,48.2%,26.9%,24.8%,43,24,22
Toaster - Model 43,Toaster,53,7,0.0%,46.3%,16.4%,37.3%,3,1,3
Toaster - Model 44,Toaster,53,75,0.0%,64.2%,22.3%,13.5%,48,17,10
Toaster - Model 45,Toaster,53,15,0.0%,55.3%,26.7%,17.9%,8,4,3
Toaster - Model 46,Toaster,53,108,0.0%,62.7%,16.0%,21.3%,68,17,23
Toaster - Model 47,Toaster,53,29,0.0%,42.7%,16.6%,40.7%,12,5,12
Toaster - Model 48,Toaster,53,51,0.0%,72.8%,20.4%,6.8%,37,10,4
Toaster - Model 49,Toaster,53,75,0.0%,73.3%,17.4%,9.4%,55,13,7
Toaster - Model 50,Toaster,53,15,0.0%,44.7%,5.3%,49.9%,7,1,7
Toaster - Model 51,Toaster,53,110,0.0%,52.1%,22.4%,25.4%,57,25,28
Toaster - Model 52,Toaster,53,29,0.0%,71.6%,12.4%,16.0%,21,4,4
Toaster - Model 53,Toaster,53,88,0.0%,59.8%,15.5%,24.6%,53,14,21
Grill - Model 1,Grill,2,1432,0.5%,75.3%,15.2%,9.5%,1078,218,136
Grill - Model 2,Grill,2,2959,1.1%,51.6%,5.4%,43.0%,1527,159,1273
Heater - Model 1,Heater,88,19,0.0%,43.2%,22.3%,34.5%,8,4,7
Heater - Model 2,Heater,88,17,0.0%,71.4%,25.7%,2.9%,12,4,1
Heater - Model 3,Heater,88,7,0.0%,74.8%,25.2%,0.0%,5,2,0
Heater - Model 4,Heater,88,21,0.0%,80.0%,11.1%,8.9%,17,2,2
Heater - Model 5,Heater,88,154,0.1%,70.5%,19.7%,9.8%,109,30,15
Heater - Model 6,Heater,88,13,0.0%,50.4%,29.5%,20.0%,7,4,2
Heater - Model 7,Heater,88,34,0.0%,75.9%,8.2%,15.9%,26,3,5
Heater - Model 8,Heater,88,55,0.0%,41.0%,22.2%,36.7%,23,12,20
Heater - Model 9,Heater,88,51,0.0%,64.2%,28.4%,7.4%,33,14,4
Heater - Model 10,Heater,88,15,0.0%,49.4%,7.1%,43.5%,7,1,7
Heater - Model 11,Heater,88,35,0.0%,50.4%,5.5%,44.2%,18,2,15
Heater - Model 12,Heater,88,76,0.0%,41.4%,27.9%,30.7%,31,21,24
Heater - Model 13,Heater,88,1,0.0%,54.1%,15.3%,30.6%,1,0,0
Heater - Model 14,Heater,88,21,0.0%,40.7%,11.8%,47.5%,9,2,10
Heater - Model 15,Heater,88,9,0.0%,72.2%,20.4%,7.4%,6,2,1
Heater - Model 16,Heater,88,18,0.0%,70.2%,16.2%,13.7%,13,3,2
Heater - Model 17,Heater,88,20,0.0%,52.4%,17.1%,30.5%,10,3,7
Heater - Model 18,Heater,88,51,0.0%,52.9%,26.0%,21.1%,27,13,11
Heater - Model 19,Heater,88,4,0.0%,51.9%,21.5%,26.6%,2,1,1
Heater - Model 20,Heater,88,27,0.0%,45.5%,22.2%,32.3%,12,6,9
Heater - Model 21,Heater,88,31,0.0%,76.5%,20.2%,3.3%,24,6,1
Heater - Model 22,Heater,88,25,0.0%,62.4%,29.0%,8.6%,16,7,2
Heater - Model 23,Heater,88,49,0.0%,65.1%,11.5%,23.4%,32,6,11
Heater - Model 24,Heater,88,18,0.0%,51.7%,22.6%,25.7%,9,4,5
Heater - Model 25,Heater,88,107,0.0%,69.4%,12.6%,18.0%,74,13,20
Heater - Model 26,Heater,88,24,0.0%,53.8%,29.8%,16.4%,13,7,4
Heater - Model 27,Heater,88,31,0.0%,44.1%,15.1%,40.8%,14,5,12
Heater - Model 28,Heater,88,64,0.0%,42.5%,25.5%,32.0%,27,16,21
Heater - Model 29,Heater,88,12,0.0%,43.7%,21.9%,34.5%,5,3,4
Heater - Model 30,Heater,88,3,0.0%,42.3%,21.8%,35.9%,1,1,1
Heater - Model 31,Heater,88,45,0.0%,73.7%,15.0%,11.3%,33,7,5
Heater - Model 32,Heater,88,24,0.0%,60.9%,15.0%,24.1%,15,4,5
Heater - Model 33,Heater,88,84,0.0%,52.0%,25.1%,22.9%,44,21,19
Heater - Model 34,Heater,88,150,0.1%,50.9%,23.1%,26.0%,76,35,39
Heater - Model 35,Heater,88,19,0.0%,48.2%,11.2%,40.5%,9,2,8
Heater - Model 36,Heater,88,20,0.0%,53.5%,19.7%,26.8%,11,4,5
Heater - Model 37,Heater,88,19,0.0%,58.2%,23.6%,18.2%,11,4,4
Heater - Model 38,Heater,88,14,0.0%,48.5%,5.3%,46.2%,7,1,6
Heater - Model 39,Heater,88,56,0.0%,71.1%,25.5%,3.4%,40,14,2
Heater - Model 40,Heater,88,53,0.0%,42.4%,20.3%,37.3%,22,11,20
Heater - Model 41,Heater,88,24,0.0%,55.1%,24.8%,20.0%,13,6,5
Heater - Model 42,Heater,88,2,0.0%,74.4%,25.6%,0.0%,1,1,0
Heater - Model 43,Heater,88,14,0.0%,71.1%,11.7%,17.2%,10,2,2
Heater - Model 44,Heater,88,13,0.0%,72.5%,18.3%,9.2%,9,2,2
Heater - Model 45,Heater,88,61,0.0%,42.1%,16.4%,41.5%,26,10,25
Heater - Model 46,Heater,88,3,0.0%,75.2%,24.8%,0.0%,2,1,0
Heater - Model 47,Heater,88,60,0.0%,44.1%,23.6%,32.3%,26,14,20
Heater - Model 48,Heater,88,41,0.0%,72.2%,11.8%,16.0%,30,5,6
Heater - Model 49,Heater,88,49,0.0%,58.9%,22.8%,18.4%,29,11,9
Heater - Model 50,Heater,88,21,0.0%,57.6%,7.8%,34.6%,12,2,7
Heater - Model 51,Heater,88,42,0.0%,68.2%,27.8%,4.0%,29,12,1
Heater - Model 52,Heater,88,35,0.0%,66.1%,24.3%,9.6%,23,9,3
Heater - Model 53,Heater,88,54,0.0%,54.3%,9.6%,36.1%,29,5,20
Heater - Model 54,Heater,88,22,0.0%,65.7%,13.2%,21.1%,14,3,5
Heater - Model 55,Heater,88,24,0.0%,74.4%,8.1%,17.5%,18,2,4
Heater - Model 56,Heater,88,38,0.0%,57.3%,14.9%,27.7%,22,6,10
Heater - Model 57,Heater,88,4,0.0%,77.5%,8.8%,13.6%,3,0,1
Heater - Model 58,Heater,88,21,0.0%,40.4%,11.0%,48.7%,8,2,11
Heater - Model 59,Heater,88,132,0.0%,72.8%,10.2%,17.0%,96,14,22
Heater - Model 60,Heater,88,1,0.0%,49.6%,8.2%,42.1%,0,0,1
Heater - Model 61,Heater,88,14,0.0%,68.6%,6.7%,24.7%,10,1,3
Heater - Model 62,Heater,88,14,0.0%,53.2%,12.1%,34.7%,7,2,5
Heater - Model 63,Heater,88,37,0.0%,62.2%,23.3%,14.5%,23,9,5
Heater - Model 64,Heater,88,4,0.0%,61.3%,28.3%,10.4%,2,1,1
Heater - Model 65,Heater,88,37,0.0%,78.1%,14.0%,7.9%,29,5,3
Heater - Model 66,Heater,88,4,0.0%,71.1%,23.5%,5.4%,3,1,0
Heater - Model 67,Heater,88,4,0.0%,75.7%,16.2%,8.1%,3,1,0
Heater - Model 68,Heater,88,48,0.0%,61.2%,15.4%,23.4%,29,7,12
Heater - Model 69,Heater,88,14,0.0%,74.0%,10.7%,15.2%,10,2,2
Heater - Model 70,Heater,88,140,0.1%,49.6%,14.3%,36.1%,69,20,51
Heater - Model 71,Heater,88,1,0.0%,49.2%,19.0%,31.8%,0,0,1
Heater - Model 72,Heater,88,22,0.0%,45.4%,13.0%,41.6%,10,3,9
Heater - Model 73,Heater,88,4,0.0%,76.5%,15.2%,8.2%,3,1,0
Heater - Model 74,Heater,88,16,0.0%,69.9%,7.8%,22.2%,11,1,4
Heater - Model 75,Heater,88,234,0.1%,49.9%,25.2%,24.9%,117,59,58
Heater - Model 76,Heater,88,81,0.0%,70.5%,14.7%,14.8%,57,12,12
Heater - Model 77,Heater,88,2,0.0%,75.2%,24.8%,0.0%,2,0,0
Heater - Model 78,Heater,88,31,0.0%,78.5%,15.7%,5.8%,24,5,2
Heater - Model 79,Heater,88,39,0.0%,47.9%,20.7%,31.4%,19,8,12
Heater - Model 80,Heater,88,9,0.0%,67.4%,8.1%,24.5%,6,1,2
Heater - Model 81,Heater,88,6,0.0%,71.5%,5.5%,23.1%,4,0,2
Heater - Model 82,Heater,88,87,0.0%,59.3%,13.3%,27.4%,52,12,23
Heater - Model 83,Heater,88,128,0.0%,69.6%,12.8%,17.6%,89,16,23
Heater - Model 84,Heater,88,178,0.1%,73.1%,19.9%,7.1%,130,35,13
Heater - Model 85,Heater,88,58,0.0%,71.0%,29.0%,0.0%,41,17,0
Heater - Model 86,Heater,88,40,0.0%,67.2%,29.6%,3.2%,27,12,1
Heater - Model 87,Heater,88,16,0.0%,41.2%,13.5%,45.4%,7,2,7
Heater - Model 88,Heater,88,7,0.0%,44.3%,11.6%,44.1%,3,1,3
Fan - Model 1,Fan,158,141,0.1%,57.7%,5.4%,36.9%,81,8,52
Fan - Model 2,Fan,158,19,0.0%,43.0%,17.8%,39.3%,8,3,8
Fan - Model 3,Fan,158,105,0.0%,78.2%,21.8%,0.0%,82,23,0
Fan - Model 4,Fan,158,65,0.0%,42.8%,9.7%,47.4%,28,6,31
Fan - Model 5,Fan,158,246,0.1%,70.9%,26.0%,3.1%,174,64,8
Fan - Model 6,Fan,158,33,0.0%,64.7%,21.1%,14.2%,21,7,5
Fan - Model 7,Fan,158,80,0.0%,41.1%,25.7%,33.2%,33,21,26
Fan - Model 8,Fan,158,5,0.0%,71.5%,11.5%,17.0%,4,1,0
Fan - Model 9,Fan,158,35,0.0%,68.3%,10.4%,21.3%,24,4,7
Fan - Model 10,Fan,158,231,0.1%,41.6%,10.0%,48.4%,96,23,112
Fan - Model 11,Fan,158,54,0.0%,47.1%,13.4%,39.4%,25,7,22
Fan - Model 12,Fan,158,24,0.0%,56.7%,17.7%,25.5%,14,4,6
Fan - Model 13,Fan,158,9,0.0%,59.1%,11.8%,29.2%,5,1,3
Fan - Model 14,Fan,158,85,0.0%,41.2%,20.1%,38.7%,35,17,33
Fan - Model 15,Fan,158,72,0.0%,55.8%,12.5%,31.7%,40,9,23
Fan - Model 16,Fan,158,33,0.0%,74.7%,23.7%,1.7%,25,8,0
Fan - Model 17,Fan,158,210,0.1%,74.3%,17.4%,8.3%,156,36,18
Fan - Model 18,Fan,158,2,0.0%,45.2%,22.4%,32.4%,1,0,1
Fan - Model 19,Fan,158,25,0.0%,48.2%,16.0%,35.7%,12,4,9
Fan - Model 20,Fan,158,177,0.1%,42.6%,25.6%,31.8%,75,45,57
Fan - Model 21,Fan,158,27,0.0%,45.0%,27.6%,27.4%,12,7,8
Fan - Model 22,Fan,158,20,0.0%,74.6%,16.6%,8.8%,15,3,2
Fan - Model 23,Fan,158,53,0.0%,69.8%,20.5%,9.7%,37,11,5
Fan - Model 24,Fan,158,121,0.0%,72.1%,15.8%,12.1%,87,19,15
Fan - Model 25,Fan,158,8,0.0%,71.4%,16.6%,12.0%,6,1,1
Fan - Model 26,Fan,158,199,0.1%,77.6%,17.2%,5.2%,155,34,10
Fan - Model 27,Fan,158,110,0.0%,58.5%,24.6%,16.9%,64,27,19
Fan - Model 28,Fan,158,14,0.0%,72.9%,18.9%,8.3%,10,3,1
Fan - Model 29,Fan,158,87,0.0%,47.2%,16.7%,36.1%,41,15,31
Fan - Model 30,Fan,158,34,0.0%,77.4%,22.6%,0.0%,26,8,0
Fan - Model 31,Fan,158,36,0.0%,72.4%,5.8%,21.7%,26,2,8
Fan - Model 32,Fan,158,106,0.0%,58.7%,21.2%,20.1%,62,22,22
Fan - Model 33,Fan,158,229,0.1%,73.2%,6.2%,20.6%,168,14,47
Fan - Model 34,Fan,158,9,0.0%,74.1%,18.7%,7.2%,7,2,0
Fan - Model 35,Fan,158,38,0.0%,47.9%,12.9%,39.2%,18,5,15
Fan - Model 36,Fan,158,46,0.0%,51.3%,18.3%,30.5%,24,8,14
Fan - Model 37,Fan,158,33,0.0%,42.1%,9.0%,49.0%,14,3,16
Fan - Model 38,Fan,158,31,0.0%,72.5%,8.3%,19.2%,22,3,6
Fan - Model 39,Fan,158,4,0.0%,49.3%,16.3%,34.3%,2,1,1
Fan - Model 40,Fan,158,80,0.0%,60.7%,24.1%,15.2%,49,19,12
Fan - Model 41,Fan,158,40,0.0%,57.9%,24.7%,17.4%,23,10,7
Fan - Model 42,Fan,158,15,0.0%,64.7%,7.8%,27.4%,10,1,4
Fan - Model 43,Fan,158,118,0.0%,46.3%,15.9%,37.8%,55,19,44
Fan - Model 44,Fan,158,113,0.0%,55.9%,23.6%,20.5%,63,27,23
Fan - Model 45,Fan,158,46,0.0%,63.2%,14.7%,22.1%,29,7,10
Fan - Model 46,Fan,158,25,0.0%,46.8%,10.7%,42.5%,12,3,10
Fan - Model 47,Fan,158,71,0.0%,63.0%,15.6%,21.4%,45,11,15
Fan - Model 48,Fan,158,24,0.0%,60.6%,9.3%,30.1%,15,2,7
Fan - Model 49,Fan,158,19,0.0%,66.5%,26.3%,7.2%,13,5,1
Fan - Model 50,Fan,158,91,0.0%,50.3%,17.3%,32.4%,46,16,29
Fan - Model 51,Fan,158,3,0.0%,79.0%,13.3%,7.6%,2,0,1
Fan - Model 52,Fan,158,7,0.0%,63.8%,7.3%,28.9%,4,1,2
Fan - Model 53,Fan,158,0,0.0%,64.2%,7.2%,28.5%,0,0,0
Fan - Model 54,Fan,158,12,0.0%,77.7%,22.3%,0.0%,9,3,0
Fan - Model 55,Fan,158,5,0.0%,71.5%,22.6%,5.9%,4,1,0
Fan - Model 56,Fan,158,381,0.1%,63.6%,16.2%,20.2%,242,62,77
Fan - Model 57,Fan,158,24,0.0%,72.7%,27.3%,0.0%,17,7,0
Fan - Model 58,Fan,158,11,0.0%,60.0%,28.3%,11.8%,7,3,1
Fan - Model 59,Fan,158,19,0.0%,63.3%,18.5%,18.2%,12,4,3
Fan - Model 60,Fan,158,191,0.1%,58.2%,10.2%,31.6%,111,20,60
Fan - Model 61,Fan,158,51,0.0%,40.1%,11.0%,48.8%,20,6,25
Fan - Model 62,Fan,158,32,0.0%,60.4%,14.5%,25.1%,19,5,8
Fan - Model 63,Fan,158,144,0.1%,57.9%,29.5%,12.5%,83,43,18
Fan - Model 64,Fan,158,35,0.0%,54.0%,16.3%,29.7%,19,6,10
Fan - Model 65,Fan,158,28,0.0%,45.3%,6.2%,48.5%,13,2,13
Fan - Model 66,Fan,158,16,0.0%,71.0%,19.3%,9.7%,11,3,2
Fan - Model 67,Fan,158,33,0.0%,70.4%,8.7%,20.8%,23,3,7
Fan - Model 68,Fan,158,26,0.0%,62.9%,11.3%,25.8%,16,3,7
Fan - Model 69,Fan,158,79,0.0%,49.1%,5.3%,45.6%,39,4,36
Fan - Model 70,Fan,158,24,0.0%,45.2%,12.7%,42.1%,11,3,10
Fan - Model 71,Fan,158,60,0.0%,44.7%,29.6%,25.7%,27,18,15
Fan - Model 72,Fan,158,5,0.0%,52.3%,8.3%,39.4%,3,0,2
Fan - Model 73,Fan,158,15,0.0%,48.0%,19.7%,32.3%,7,3,5
Fan - Model 74,Fan,158,36,0.0%,42.6%,26.6%,30.9%,15,10,11
Fan - Model 75,Fan,158,192,0.1%,78.5%,11.2%,10.4%,151,21,20
Fan - Model 76,Fan,158,33,0.0%,58.0%,5.6%,36.4%,19,2,12
Fan - Model 77,Fan,158,76,0.0%,65.6%,15.3%,19.0%,50,12,14
Fan - Model 78,Fan,158,20,0.0%,50.8%,10.2%,39.0%,10,2,8
Fan - Model 79,Fan,158,9,0.0%,66.2%,15.4%,18.4%,6,1,2
Fan - Model 80,Fan,158,4,0.0%,47.2%,22.2%,30.6%,2,1,1
Fan - Model 81,Fan,158,25,0.0%,62.6%,26.5%,10.9%,16,7,2
Fan - Model 82,Fan,158,12,0.0%,44.7%,24.6%,30.7%,5,3,4
Fan - Model 83,Fan,158,13,0.0%,66.9%,7.9%,25.2%,9,1,3
Fan - Model 84,Fan,158,99,0.0%,67.8%,16.0%,16.2%,67,16,16
Fan - Model 85,Fan,158,1,0.0%,77.8%,8.5%,13.7%,1,0,0
Fan - Model 86,Fan,158,57,0.0%,65.7%,14.5%,19.7%,37,8,12
Fan - Model 87,Fan,158,33,0.0%,78.3%,13.2%,8.5%,26,4,3
Fan - Model 88,Fan,158,49,0.0%,75.5%,24.5%,0.0%,37,12,0
Fan - Model 89,Fan,158,58,0.0%,50.8%,25.1%,24.1%,29,15,14
Fan - Model 90,Fan,158,26,0.0%,79.8%,11.3%,8.9%,21,3,2
Fan - Model 91,Fan,158,24,0.0%,57.5%,18.0%,24.5%,14,4,6
Fan - Model 92,Fan,158,92,0.0%,51.8%,5.4%,42.8%,48,5,39
Fan - Model 93,Fan,158,143,0.1%,48.8%,12.0%,39.1%,70,17,56
Fan - Model 94,Fan,158,15,0.0%,57.7%,9.3%,33.0%,9,1,5
Fan - Model 95,Fan,158,7,0.0%,74.9%,22.6%,2.4%,5,2,0
Fan - Model 96,Fan,158,159,0.1%,43.4%,21.3%,35.3%,69,34,56
Fan - Model 97,Fan,158,30,0.0%,66.1%,28.9%,4.9%,20,9,1
Fan - Model 98,Fan,158,56,0.0%,40.1%,11.2%,48.7%,22,6,28
Fan - Model 99,Fan,158,31,0.0%,74.4%,25.6%,0.0%,23,8,0
Fan - Model 100,Fan,158,9,0.0%,68.8%,24.1%,7.0%,6,2,1
Fan - Model 101,Fan,158,62,0.0%,43.7%,17.8%,38.5%,27,11,24
Fan - Model 102,Fan,158,52,0.0%,49.3%,9.5%,41.2%,26,5,21
Fan - Model 103,Fan,158,16,0.0%,72.4%,8.4%,19.2%,12,1,3
Fan - Model 104,Fan,158,42,0.0%,58.7%,28.5%,12.8%,25,12,5
Fan - Model 105,Fan,158,111,0.0%,47.4%,29.4%,23.1%,53,33,25
Fan - Model 106,Fan,158,62,0.0%,79.8%,18.9%,1.3%,49,12,1
Fan - Model 107,Fan,158,7,0.0%,46.8%,12.9%,40.3%,3,1,3
Fan - Model 108,Fan,158,55,0.0%,57.0%,12.7%,30.3%,31,7,17
Fan - Model 109,Fan,158,84,0.0%,51.2%,29.3%,19.5%,43,25,16
Fan - Model 110,Fan,158,109,0.0%,46.1%,23.3%,30.5%,50,25,34
Fan - Model 111,Fan,158,69,0.0%,40.0%,19.9%,40.1%,28,14,27
Fan - Model 112,Fan,158,12,0.0%,76.6%,12.2%,11.2%,9,1,2
Fan - Model 113,Fan,158,86,0.0%,47.4%,21.3%,31.3%,41,18,27
Fan - Model 114,Fan,158,79,0.0%,68.5%,22.2%,9.3%,54,18,7
Fan - Model 115,Fan,158,2,0.0%,52.8%,11.3%,35.9%,1,0,1
Fan - Model 116,Fan,158,37,0.0%,75.1%,24.9%,0.0%,28,9,0
Fan - Model 117,Fan,158,28,0.0%,58.3%,26.2%,15.6%,16,7,5
Fan - Model 118,Fan,158,77,0.0%,58.1%,15.6%,26.3%,45,12,20
Fan - Model 119,Fan,158,17,0.0%,46.3%,15.7%,38.1%,8,3,6
Fan - Model 120,Fan,158,62,0.0%,61.5%,5.6%,32.9%,38,3,21
Fan - Model 121,Fan,158,170,0.1%,57.8%,24.5%,17.7%,98,42,30
Fan - Model 122,Fan,158,111,0.0%,67.2%,20.9%,11.9%,75,23,13
Fan - Model 123,Fan,158,177,0.1%,76.4%,5.5%,18.2%,135,10,32
Fan - Model 124,Fan,158,267,0.1%,62.3%,24.7%,13.0%,166,66,35
Fan - Model 125,Fan,158,1,0.0%,61.7%,13.1%,25.2%,1,0,0
Fan - Model 126,Fan,158,68,0.0%,45.5%,27.2%,27.4%,31,18,19
Fan - Model 127,Fan,158,37,0.0%,58.8%,27.0%,14.2%,22,10,5
Fan - Model 128,Fan,158,137,0.0%,63.4%,21.9%,14.7%,87,30,20
Fan - Model 129,Fan,158,20,0.0%,72.2%,21.5%,6.4%,14,4,2
Fan - Model 130,Fan,158,276,0.1%,55.9%,17.8%,26.2%,154,49,73
Fan - Model 131,Fan,158,66,0.0%,72.1%,14.3%,13.5%,48,9,9
Fan - Model 132,Fan,158,110,0.0%,55.5%,7.4%,37.1%,61,8,41
Fan - Model 133,Fan,158,6,0.0%,76.6%,7.3%,16.1%,5,0,1
Fan - Model 134,Fan,158,14,0.0%,65.9%,15.3%,18.7%,9,2,3
Fan - Model 135,Fan,158,99,0.0%,56.2%,22.0%,21.8%,56,22,21
Fan - Model 136,Fan,158,2,0.0%,42.7%,19.8%,37.5%,1,0,1
Fan - Model 137,Fan,158,118,0.0%,70.9%,25.7%,3.4%,84,30,4
Fan - Model 138,Fan,158,1,0.0%,46.8%,27.4%,25.7%,0,0,1
Fan - Model 139,Fan,158,74,0.0%,66.2%,27.0%,6.7%,49,20,5
Fan - Model 140,Fan,158,32,0.0%,59.4%,18.6%,22.0%,19,6,7
Fan - Model 141,Fan,158,66,0.0%,74.6%,25.4%,0.0%,49,17,0
Fan - Model 142,Fan,158,83,0.0%,57.9%,11.9%,30.2%,48,10,25
Fan - Model 143,Fan,158,29,0.0%,55.7%,14.7%,29.6%,16,4,9
Fan - Model 144,Fan,158,8,0.0%,51.5%,11.7%,36.8%,4,1,3
Fan - Model 145,Fan,158,5,0.0%,74.4%,6.7%,18.8%,4,0,1
Fan - Model 146,Fan,158,62,0.0%,67.1%,9.3%,23.6%,42,6,14
Fan - Model 147,Fan,158,51,0.0%,53.8%,6.5%,39.7%,27,3,21
Fan - Model 148,Fan,158,94,0.0%,50.8%,24.2%,25.0%,48,23,23
Fan - Model 149,Fan,158,50,0.0%,75.4%,10.5%,14.1%,38,5,7
Fan - Model 150,Fan,158,38,0.0%,58.5%,16.8%,24.7%,22,6,10
Fan - Model 151,Fan,158,35,0.0%,74.9%,24.1%,1.0%,26,8,1
Fan - Model 152,Fan,158,2,0.0%,60.5%,21.8%,17.7%,1,0,1
Fan - Model 153,Fan,158,28,0.0%,73.9%,5.2%,20.9%,21,1,6
Fan - Model 154,Fan,158,259,0.1%,56.1%,27.7%,16.2%,145,72,42
Fan - Model 155,Fan,158,144,0.1%,69.6%,18.6%,11.8%,100,27,17
Fan - Model 156,Fan,158,28,0.0%,61.2%,13.7%,25.1%,17,4,7
Fan - Model 157,Fan,158,62,0.0%,60.8%,21.4%,17.8%,38,13,11
Fan - Model 158,Fan,158,131,0.0%,56.7%,22.9%,20.4%,74,30,27
Iron - Model 1,Iron,38,128,0.0%,61.9%,18.8%,19.3%,79,24,25
Iron - Model 2,Iron,38,190,0.1%,59.9%,12.7%,27.5%,114,24,52
Iron - Model 3,Iron,38,16,0.0%,77.1%,19.7%,3.2%,12,3,1
Iron - Model 4,Iron,38,128,0.0%,56.3%,21.3%,22.4%,72,27,29
Iron - Model 5,Iron,38,32,0.0%,70.7%,29.0%,0.3%,23,9,0
Iron - Model 6,Iron,38,88,0.0%,60.0%,7.8%,32.2%,53,7,28
Iron - Model 7,Iron,38,76,0.0%,57.6%,17.0%,25.4%,44,13,19
Iron - Model 8,Iron,38,105,0.0%,75.9%,14.9%,9.3%,80,16,9
Iron - Model 9,Iron,38,162,0.1%,78.1%,17.1%,4.7%,127,28,7
Iron - Model 10,Iron,38,445,0.2%,79.0%,5.2%,15.8%,351,23,71
Iron - Model 11,Iron,38,96,0.0%,73.8%,26.2%,0.0%,71,25,0
Iron - Model 12,Iron,38,757,0.3%,78.4%,5.3%,16.2%,594,40,123
